year,award,outcome,title,author,published
2017,Best Novel,1,The Obelisk Gate,N. K. Jemisin,Orbit Books
2017,Best Novel,2,All the Birds in the Sky,Charlie Jane Anders,Tor Books / Titan Books
2017,Best Novel,3,Ninefox Gambit,Yoon Ha Lee,Solaris Books
2017,Best Novel,4,A Closed and Common Orbit,Becky Chambers,Hodder & Stoughton / Harper Voyager US
2017,Best Novel,5,Too Like the Lightning,Ada Palmer,Tor Books
2017,Best Novel,6,Death’s End,Ken Liu,Tor Books / Head of Zeus
2017,Best Novella,1,Every Heart a Doorway,Seanan Mcguire,Tor.com publishing
2017,Best Novella,2,The Dream-Quest of Vellitt Boe,Kij Johnson,Tor.com publishing
2017,Best Novella,3,Penric and the Shaman,Lois Mcmaster Bujold,Spectrum Literary Agency
2017,Best Novella,4,The Ballad of Black Tom,Victor Lavalle,Tor.com publishing
2017,Best Novella,5,A Taste of Honey,Kai Ashante Wilson,Tor.com publishing
2017,Best Novella,6,This Census-Taker,China Miéville,Del Rey / Picador
2017,Best Novelette,1,“The Tomato Thief”,Ursula Vernon,"Apex Magazine, January 2016"
2017,Best Novelette,2,“You’ll Surely Drown Here If You Stay”,Alyssa Wong,"Uncanny Magazine, May 2016"
2017,Best Novelette,3,“Touring with the Alien”,Carolyn Ives Gilman,"Clarkesworld Magazine, April 2016"
2017,Best Novelette,4,“The Jewel and Her Lapidary”,Fran Wilde,"Tor.com publishing, May 2016"
2017,Best Novelette,5,“The Art of Space Travel”,Nina Allan,"Tor.com , July 2016"
2017,Best Novelette,6,No Award,None,None
2017,Best Novelette,7,Alien Stripper Boned From Behind By The T-Rex,Stix Hiscock,self-published
2017,Best Short Story,1,“Seasons of Glass and Iron”,Amal El-Mohtar,"The Starlit Wood: New Fairy Tales, Saga Press"
2017,Best Short Story,2,“The City Born Great”,N. K. Jemisin,"Tor.com, September 2016"
2017,Best Short Story,3,“That Game We Played During the War”,Carrie Vaughn,"Tor.com, March 2016"
2017,Best Short Story,4,“A Fist of Permutations in Lightning and Wildflowers”,Alyssa Wong,"Tor.com, March 2016"
2017,Best Short Story,5,“Our Talons Can Crush Galaxies”,Brooke Bolander,"Uncanny Magazine, November 2016"
2017,Best Short Story,6,No Award,None,None
2017,Best Short Story,7,“An Unimaginable Light”,John C. Wright,"God, Robot, Castalia House"
2016,Best Novel,1,The Fifth Season,N. K. Jemisin,Orbit
2016,Best Novel,2,Uprooted,Naomi Novik,Del Rey
2016,Best Novel,3,Ancillary Mercy,Ann Leckie,Orbit
2016,Best Novel,4,Seveneves: A Novel,Neal Stephenson,William Morrow
2016,Best Novel,5,The Cinder Spires: The Aeronaut’s Windlass,Jim Butcher,Roc
2016,Best Novella,1,Binti,Nnedi Okorafor,Tor.com
2016,Best Novella,2,Penric’s Demon,Lois Mcmaster Bujold,Spectrum
2016,Best Novella,3,Slow Bullets,Alastair Reynolds,Tachyon
2016,Best Novella,4,Perfect State,Brandon Sanderson,Dragonsteel Entertainment
2016,Best Novella,5,The Builders,Daniel Polansky,Tor.com
2016,Best Novelette,1,“Folding Beijing”,"Hao Jingfang, Trans. Ken Liu","Uncanny Magazine, Jan-Feb 2015"
