year,award,outcome,title,author,published
2017,Best SF Novel,1,Death's End, Cixin Liu ,Tor; Head of Zeus
2017,Best SF Novel,2,The Underground Railroad, Colson Whitehead ,Doubleday; Fleet
2017,Best SF Novel,3,Babylon's Ashes, James S. A. Corey ,Orbit
2017,Best SF Novel,4,Central Station, Lavie Tidhar ,Tachyon
2017,Best SF Novel,5,Company Town, Madeline Ashby ,Tor
2017,Best SF Novel,6,Visitor, C. J. Cherryh ,DAW
2017,Best SF Novel,7,The Medusa Chronicles, Stephen Baxter & Alastair Reynolds ,Gollancz; Saga
2017,Best SF Novel,8,After Atlas, Emma Newman ,Roc
2017,Best SF Novel,9,Last Year, Robert Charles Wilson ,Tor
2017,Best SF Novel,10,Take Back the Sky, Greg Bear ,Orbit
2017,Best Fantasy Novel,1,All the Birds in the Sky, Charlie Jane Anders ,Tor; Titan
2017,Best Fantasy Novel,2,The Obelisk Gate, N. K. Jemisin ,Orbit
2017,Best Fantasy Novel,3,The Wall of Storms, Ken Liu ,Saga; Head of Zeus
2017,Best Fantasy Novel,4,The Nightmare Stacks, Charles Stross ,Ace; Orbit
2017,Best Fantasy Novel,5,Children of Earth and Sky, Guy Gavriel Kay ,NAL; Viking Canada; Hodder & Stoughton
2017,Best Fantasy Novel,6,City of Blades, Robert Jackson Bennett ,Broadway
2017,Best Fantasy Novel,7,The Winged Histories, Sofia Samatar ,Small Beer
2017,Best Fantasy Novel,8,The Last Days of New Paris, China Miéville ,Del Rey; Picador
2017,Best Fantasy Novel,9,Necessity, Jo Walton ,Tor
2017,Best Fantasy Novel,10,Summerlong, Peter S. Beagle ,Tachyon
2017,Best Novella,1,Every Heart a Doorway, Seanan Mcguire ,Tor.com
2017,Best Novella,2,The Dream-Quest of Vellitt Boe, Kij Johnson ,Tor.com
2017,Best Novella,3,The Ballad of Black Tom, Victor Lavalle ,Tor.com
2017,Best Novella,4,This Census-taker, China Miéville ,Del Rey; Picador
2017,Best Novella,5,A Taste of Honey, Kai Ashante Wilson ,Tor.com
2017,Best Novella,6,The Dispatcher, John Scalzi ,Audible; Subterranean 2017
2017,Best Novella,7,The Iron Tactician, Alastair Reynolds ,NewCon
2017,Best Novella,8,The Lost Child of Lychford, Paul Cornell ,Tor.com
2017,Best Novella,9,Hammers on Bone, Cassandra Khaw ,Tor.com
