year,award,outcome,title,author,published
2017,Best Novel,Finalist,Spoonbenders,Daryl Gregory,Knopf
2017,Best Novel,Finalist,Amberlough,Lara Elena Donnelly,Tor
2017,Best Novel,Finalist,The Strange Case of the Alchemist’s Daughter,Theodora Goss,Saga Press
2017,Best Novel,Finalist,The Stone Sky,N. K. Jemisin,Orbit US
2017,Best Novel,Finalist,Six Wakes,Mur Lafferty,Orbit US
2017,Best Novel,Finalist,Jade City,Fonda Lee,Orbit US
2017,Best Novel,Finalist,Autonomous,Annalee Newitz,Tor
2017,Best Novella,Finalist,“River of Teeth”,Sarah Gailey,Tor.com
2017,Best Novella,Finalist,“Passing Strange”,Ellen Klages,Tor.com
2017,Best Novella,Finalist,“And Then There Were (N-One)”,Sarah Pinsker,Uncanny
2017,Best Novella,Finalist,“Barry’s Deal”,Lawrence M. Schoen,NobleFusion Press
2017,Best Novella,Finalist,“All Systems Red”,Martha Wells,Tor.com
2017,Best Novella,Finalist,“The Black Tides of Heaven”,Jy Yang,Tor.com
2017,Best Novelette,Finalist,“Dirty Old Town”,Richard Bowes,The Magazine of Fantasy and Science Fiction
2017,Best Novelette,Finalist,“Weaponized Math”,Jonathan P. Brazee,LMBPN Publishing
2017,Best Novelette,Finalist,“Wind Will Rove”,Sarah Pinsker,Asimov’s Magazine
2017,Best Novelette,Finalist,“A Series of Steaks”,Vina Jie-Min Prassad,Clarkesworld
2017,Best Novelette,Finalist,“A Human Stain”,Kelly Robson,Tor.com
2017,Best Novelette,Finalist,“Small Changes Over Long Periods of Time”,K. M. Szpara,Uncanny
2017,Best Short Story,Finalist,“The Last Novelist (or A Dead Lizard in the Yard)”,Matthew Kressel,Tor.com
2017,Best Short Story,Finalist,“Fandom for Robots”,Vina Jie-Min Prassad,Uncanny
2017,Best Short Story,Finalist,“Welcome to Your Authentic Indian Experience™”,Rebecca Roanhorse,Apex Magazine
2017,Best Short Story,Finalist,"“Utopia, LOL”",Jamie Wahls,Strange Horizons
2017,Best Short Story,Finalist,“Clearly Lettered in a Mostly Steady Hand”,Fran Wilde,Uncanny
2017,Best Short Story,Finalist,“Carnival Nine”,Caroline M. Yoachim,Beneath Ceaseless Skies
2016,Best Novel,Winner,All the Birds in the Sky,Charlie Jane Anders,Tor
2016,Best Novel,Finalist,Borderline,Mishell Baker,Saga Press
2016,Best Novel,Finalist,The Obelisk Gate,N. K. Jemisin,Orbit US
2016,Best Novel,Finalist,Ninefox Gambit,Yoon Ha Lee,Solaris US
2016,Best Novel,Finalist,Everfair,Nisi Shawl,Tor
2016,Best Novella,Finalist,“Runtime”,S. B. Divya,Tor.com
2016,Best Novella,Finalist,“The Dream-Quest of Vellitt Boe”,Kij Johnson,Tor.com
2016,Best Novella,Finalist,“The Ballad of Black Tom”,Victor Lavalle,Tor.com
2016,Best Novella,Winner,“Every Heart a Doorway”,Seanan Mcguire,Tor.com
2016,Best Novella,Finalist,“The Liar”,John P. Murphy,The Magazine of Fantasy and Science Fiction
2016,Best Novella,Finalist,“A Taste of Honey”,Kai Ashante Wilson,Tor.com
2016,Best Novelette,Finalist,“Blood Grains Speak Through Memories”,Jason Sanford,Beneath Ceaseless Skies
2016,Best Novelette,Winner,“The Long Fall Up”,William Ledbetter,The Magazine of Fantasy and Science Fiction
2016,Best Novelette,Finalist,“Sooner or Later Everything Falls Into the Sea”,Sarah Pinsker,Lightspeed Magazine
2016,Best Novelette,Finalist,“The Orangery”,Bonnie Jo Stufflebeam,Beneath Ceaseless Skies
2016,Best Novelette,Finalist,“The Jewel and Her Lapidary”,Fran Wilde,Tor.com
2016,Best Novelette,Finalist,“You’ll Surely Drown Here If You Stay”,Alyssa Wong,Uncanny
2016,Best Short Story,Finalist,“Our Talons Can Crush Galaxies”,Brooke Bolander,Uncanny
2016,Best Short Story,Winner,“Seasons of Glass and Iron”,Amal El-Mohtar,The Starlit Wood
2016,Best Short Story,Finalist,“Sabbath Wine”,Barbara Krasnoff,Clockwork Phoenix 5
2016,Best Short Story,Finalist,“Things With Beards”,Sam J. Miller,Clarkesworld
2016,Best Short Story,Finalist,“This Is Not a Wardrobe Door”,A. Merc Rustad,Fireside Magazine
2016,Best Short Story,Finalist,“A Fist of Permutations in Lightning and Wildflowers”,Alyssa Wong,Tor.com
2016,Best Short Story,Finalist,“Welcome to the Medical Clinic at the Interplanetary Relay Station│Hours Since the Last Patient Death: 0”,Caroline M. Yoachim,Lightspeed Magazine
2015,Best Novel,Finalist,Raising Caine,Charles E. Gannon,Baen
2015,Best Novel,Finalist,The Fifth Season,N. K. Jemisin,Orbit US
2015,Best Novel,Finalist,Ancillary Mercy,Ann Leckie,Orbit US
2015,Best Novel,Finalist,The Grace of Kings,Ken Liu,Saga Press
2015,Best Novel,Winner,Uprooted,Naomi Novik,Del Rey
2015,Best Novel,Finalist,Barsk: The Elephants’ Graveyard,Lawrence M. Schoen,Tor
2015,Best Novel,Finalist,Updraft,Fran Wilde,Tor
2015,Best Novella,Finalist,“Wings of Sorrow and Bone”,Beth Cato,Harper Voyager Impulse
2015,Best Novella,Finalist,“The Bone Swans of Amandale”,C. S. E. Cooney,no publishing information available
2015,Best Novella,Finalist,“The New Mother”,Eugene Fischer,Asimov’s Magazine
2015,Best Novella,Finalist,“The Pauper Prince and the Eucalyptus Jinn”,Usman T. Malik,Tor.com
2015,Best Novella,Winner,“Binti”,Nnedi Okorafor,Tor.com
2015,Best Novella,Finalist,“Waters of Versailles”,Kelly Robson,Tor.com
2015,Best Novelette,Finalist,“Rattlesnakes and Men”,Michael Bishop,Asimov’s Magazine
2015,Best Novelette,Finalist,“And You Shall Know Her by the Trail of Dead”,Brooke Bolander,Lightspeed Magazine
2015,Best Novelette,Finalist,“Grandmother-nai-Laylit’s Cloth of Winds”,Rose Lemberg,Beneath Ceaseless Skies
2015,Best Novelette,Finalist,“The Ladies’ Aquatic Gardening Society”,Henry Lien,Asimov’s Magazine
2015,Best Novelette,Finalist,“The Deepwater Bride”,Tamsyn Muir,The Magazine of Fantasy and Science Fiction
2015,Best Novelette,Winner,“Our Lady of the Open Road”,Sarah Pinsker,Asimov’s Magazine
2015,Best Short Story,Finalist,“Madeleine”,Amal El-Mohtar,Lightspeed Magazine
2015,Best Short Story,Finalist,“Cat Pictures Please”,Naomi Kritzer,Clarkesworld
2015,Best Short Story,Finalist,“Damage”,David D. Levine,Tor.com
2015,Best Short Story,Finalist,“When Your Child Strays from God”,Sam J. Miller,Clarkesworld
2015,Best Short Story,Finalist,“Today I Am Paul”,Martin L. Shoemaker,Clarkesworld
2015,Best Short Story,Winner,“Hungry Daughters of Starving Mothers”,Alyssa Wong,Nightmare Magazine
2014,Best Novel,Finalist,The Three-Body Problem,Cixin Liu,Tor
2014,Best Novel,Finalist,Trial By Fire,Charles E. Gannon,Baen
2014,Best Novel,Winner,Annihilation,Jeff Vandermeer,"Farrar, Straus and Giroux"
2014,Best Novel,Finalist,The Goblin Emperor,Katherine Addison,Tor
2014,Best Novel,Finalist,Ancillary Sword,Ann Leckie,Orbit US
2014,Best Novel,Finalist,Coming Home,Jack Mcdevitt,Ace
2014,Best Novella,Finalist,“We Are All Completely Fine”,Daryl Gregory,Tachyon
2014,Best Novella,Winner,“Yesterday’s Kin”,Nancy Kress,Tachyon
2014,Best Novella,Finalist,“The Regular”,Ken Liu,no publishing information available
2014,Best Novella,Finalist,“The Mothers of Voorhisville”,Mary Rickert,Tor.com
2014,Best Novella,Finalist,“Calendrical Regression”,Lawrence M. Schoen,no publishing information available
2014,Best Novella,Finalist,“Grand Jeté (The Great Leap)”,Rachel Swirsky,Subterranean
2014,Best Novelette,Finalist,“Sleep Walking Now and Then”,Richard Bowes,Tor.com
2014,Best Novelette,Finalist,“The Magician and Laplace’s Demon”,Tom Crosshill,Clarkesworld
2014,Best Novelette,Winner,“A Guide to the Fruits of Hawai’i”,Alaya Dawn Johnson,The Magazine of Fantasy and Science Fiction
2014,Best Novelette,Finalist,“The Husband Stitch”,Carmen Maria Machado,Granta
2014,Best Novelette,Finalist,“We Are the Cloud”,Sam J. Miller,Lightspeed Magazine
2014,Best Novelette,Finalist,“The Devil in America”,Kai Ashante Wilson,Tor.com
2014,Best Short Story,Finalist,“The Breath of War”,Aliette De Bodard,Beneath Ceaseless Skies
2014,Best Short Story,Finalist,"“When It Ends, He Catches Her”",Eugie Foster,Daily Science Fiction
2014,Best Short Story,Finalist,“The Meeker and the All-Seeing Eye”,Matthew Kressel,Clarkesworld
2014,Best Short Story,Finalist,“The Vaporization Enthalpy of a Peculiar Pakistani Family”,Usman T. Malik,no publishing information available
2014,Best Short Story,Finalist,“A Stretch of Highway Two Lanes Wide”,Sarah Pinsker,The Magazine of Fantasy and Science Fiction
2014,Best Short Story,Winner,“Jackalope Wives”,Ursula Vernon,Apex Magazine
2014,Best Short Story,Finalist,“The Fisher Queen”,Alyssa Wong,The Magazine of Fantasy and Science Fiction
2013,Best Novel,Finalist,We Are All Completely Beside Ourselves,Karen Joy Fowler,Marian Wood
2013,Best Novel,Finalist,The Ocean at the End of the Lane,Neil Gaiman,Morrow
2013,Best Novel,Finalist,Fire With Fire,Charles E. Gannon,Baen
2013,Best Novel,Finalist,Hild,Nicola Griffith,"Farrar, Straus and Giroux"
2013,Best Novel,Winner,Ancillary Justice,Ann Leckie,Orbit US
2013,Best Novel,Finalist,The Red: First Light,Linda Nagata,Mythic Island Press LLC
2013,Best Novel,Finalist,A Stranger in Olondria,Sofia Samatar,Small Beer
2013,Best Novel,Finalist,The Golem and the Jinni,Helene Wecker,Harper
2013,Best Novella,Finalist,“Wakulla Springs”,Andy Duncan,Ellen Klages
2013,Best Novella,Winner,“The Weight of the Sunrise”,Vylar Kaftan,Asimov’s Magazine
2013,Best Novella,Finalist,“Annabel Lee”,Nancy Kress,Arc Manor
2013,Best Novella,Finalist,“Burning Girls”,Veronica Schanoes,Tor.com
2013,Best Novella,Finalist,“Trial of the Century”,Lawrence M. Schoen,no publishing information available
2013,Best Novella,Finalist,Six-Gun Snow White,Catherynne M. Valente,Subterranean
2013,Best Novelette,Finalist,“Paranormal Romance”,Christopher Barzak,Lightspeed Magazine
2013,Best Novelette,Winner,“The Waiting Stars”,Aliette De Bodard,no publishing information available
2013,Best Novelette,Finalist,“They Shall Salt the Earth with Seeds of Glass”,Alaya Dawn Johnson,Asimov’s Magazine
2013,Best Novelette,Finalist,“Pearl Rehabilitative Colony for Ungrateful Daughters”,Henry Lien,Asimov’s Magazine
2013,Best Novelette,Finalist,“The Litigation Master and the Monkey King”,Ken Liu,Lightspeed Magazine
2013,Best Novelette,Finalist,"“In Joy, Knowing the Abyss Behind”",Sarah Pinsker,Strange Horizons
2013,Best Short Story,Finalist,“The Sounds of Old Earth”,Matthew Kressel,Lightspeed Magazine
2013,Best Short Story,Finalist,“Selkie Stories Are for Losers”,Sofia Samatar,Strange Horizons
2013,Best Short Story,Finalist,“Selected Program Notes from the Retrospective Exhibition of Theresa Rosenberg Latimer”,Kenneth Schneyer,Clockwork Phoenix 4
2013,Best Short Story,Winner,"“If You Were a Dinosaur, My Love”",Rachel Swirsky,Apex Magazine
2013,Best Short Story,Finalist,"“Alive, Alive Oh”",Sylvia Spruck Wrigley,Lightspeed Magazine
2012,Best Novel,Finalist,Throne of the Crescent Moon,Saladin Ahmed,DAW
2012,Best Novel,Finalist,Ironskin,Tina Connolly,Tor
2012,Best Novel,Finalist,The Killing Moon,N. K. Jemisin,Orbit US
2012,Best Novel,Finalist,The Drowning Girl,Caitlín R. Kiernan,Roc
2012,Best Novel,Finalist,Glamour in Glass,Mary Robinette Kowal,Tor
2012,Best Novel,Winner,2312,Kim Stanley Robinson,Orbit US
2012,Best Novella,Finalist,"“On a Red Station, Drifting”",Aliette De Bodard,no publishing information available
2012,Best Novella,Finalist,“The Stars Do Not Lie”,Jay Lake,Asimov’s Magazine
2012,Best Novella,Winner,"“After the Fall, Before the Fall, During the Fall”",Nancy Kress,Tachyon
2012,Best Novella,Finalist,“All the Flavors”,Ken Liu,GigaNotoSaurus
2012,Best Novella,Finalist,“Katabasis”,Robert Reed,The Magazine of Fantasy and Science Fiction
2012,Best Novella,Finalist,“Barry’s Tale”,Lawrence M. Schoen,no publishing information available
2012,Best Novelette,Finalist,“The Pyre of New Day”,Catherine Asaro,no publishing information available
2012,Best Novelette,Winner,“Close Encounters”,Andy Duncan,no publishing information available
2012,Best Novelette,Finalist,“The Waves”,Ken Liu,Asimov’s Magazine
2012,Best Novelette,Finalist,“The Finite Canvas”,Brit Mandelo,Tor.com
2012,Best Novelette,Finalist,"“Swift, Brutal Retaliation”",Meghan Mccarron,Tor.com
2012,Best Novelette,Finalist,“Portrait of Lisane da Patagnia”,Rachel Swirsky,Tor.com
2012,Best Novelette,Finalist,“Fade to White”,Catherynne M. Valente,Clarkesworld
2012,Best Short Story,Finalist,“Robot”,Helena Bell,Clarkesworld
2012,Best Short Story,Winner,“Immersion”,Aliette De Bodard,Clarkesworld
