year,award,outcome,title,author
1975,Best Novel,Winner,The Forgotten Beasts of Eld,Patricia A. Mckillip
1975,Best Novel,Nominee,A Midsummer Tempest,Poul Anderson
1975,Best Novel,Nominee,Merlin's Ring,H. Warner Munn
1975,Best Short Fiction,Winner,Pages From a Young Girl's Journal,Robert Aickman
1975,Best Short Fiction,Nominee,A Father's Tale,Sterling E. Lanier
1975,Best Short Fiction,Nominee,Sticks,Karl Edward Wagner
1975,Best Short Fiction,Nominee,The Events at Poroth Farm,T. E. D. Klein
1976,Best Novel,Winner,Bid Time Return,Richard Matheson
1976,Best Novel,Nominee,Salem's Lot,Stephen King
1976,Best Short Fiction,Winner,Belsen Express,Fritz Leiber
1976,Best Short Fiction,Nominee,The Barrow Troll,David Drake
1976,Best Short Fiction,Nominee,The Ghastly Priest Doth Reign,Manly Wade Wellman
1976,Best Short Fiction,Nominee,Born of the Winds,Brian Lumley
1977,Best Novel,Winner,Doctor Rat,William Kotzwinkle
1977,Best Novel,Nominee,Dark Crusade,Karl Edward Wagner
1977,Best Novel,Nominee,The Acts of King Arthur and His Noble Knights,John Steinbeck
1977,Best Novel,Nominee,The Doll Who Ate His Mother,Ramsey Campbell
1977,Best Novel,Nominee,The Dragon and the George,Gordon R. Dickson
1977,Best Novel,Nominee,The Sailor on the Seas of Fate,Michael Moorcock
1977,Best Short Fiction,Winner,There's a Long Long Trail A-Winding,Russell Kirk
1977,Best Short Fiction,Nominee,Dark Wings,Fritz Leiber
1977,Best Short Fiction,Nominee,It Only Comes Out At Night,Dennis Etchison
1977,Best Short Fiction,Nominee,The Companion,Ramsey Campbell
1977,Best Short Fiction,Nominee,Two Suns Setting,Karl Edward Wagner
1977,Best Short Fiction,Nominee,What Is Life?,Robert Sheckley
1978,Best Novel,Winner,Our Lady of Darkness,Fritz Leiber
1978,Best Novel,Nominee,The Chronicles of Thomas Covenant the Unbeliever,Stephen R. Donaldson
1978,Best Novel,Nominee,The Hour of the Oxrun Dead,Charles L. Grant
1978,Best Short Fiction,Winner,The Chimney,Ramsey Campbell
1978,Best Short Fiction,Nominee,Jeffty Is Five,Harlan Ellison
1978,Best Short Fiction,Nominee,Loveman's Comeback,Ramsey Campbell
1978,Best Short Fiction,Nominee,Manatee Gal Ain't You Coming Out Tonight,Avram Davidson
1978,Best Short Fiction,Nominee,The Bagful of Dreams,Jack Vance
1978,Best Short Fiction,Nominee,When All the Children Call My Name,Charles L. Grant
1979,Best Novel,Winner,Gloriana,Michael Moorcock
1979,Best Novel,Nominee,Night's Master,Tanith Lee
1979,Best Novel,Nominee,The Black Castle,Les Daniels
1979,Best Novel,Nominee,The Sound of,Charles L. Grant
1979,Best Novel,Nominee,The Stand,Stephen King
1979,Best Short Fiction,Winner,Naples,Avram Davidson
1979,Best Short Fiction,Nominee,A Good Night's Sleep,Avram Davidson
1979,Best Short Fiction,Nominee,Hear Me Now My Sweet Abbey Rose,Charles L. Grant
1979,Best Short Fiction,Nominee,The Magic Goes Away,Larry Niven
1979,Best Short Fiction,Nominee,Within the Walls of Tyre,Michael Bishop
1980,Best Novel,Winner,Watchtower,Elizabeth A. Lynn
1980,Best Novel,Nominee,Harpist in the Wind,Patricia A. Mckillip
1980,Best Novel,Nominee,The Dancers of Arun,Elizabeth A. Lynn
1980,Best Novel,Nominee,The Dark Bright Water,Patricia Wrightson
1980,Best Novel,Nominee,The Last Call of Mourning,Charles L. Grant
1980,Best Novel,Nominee,The Palace,Chelsea Quinn Yarbro
1980,Best Short Fiction,Winner,Mackintosh Willy,Ramsey Campbell
1980,Best Short Fiction,Nominee,Petey,T. E. D. Klein
1980,Best Short Fiction,Nominee,Saturday's Shadow,William F. Nolan
1980,Best Short Fiction,Nominee,The Button Molder,Fritz Leiber
1980,Best Short Fiction,Nominee,The Woman Who Loved the Moon,Elizabeth A. Lynn
1981,Best Novel,Winner,The Shadow of the Torturer,Gene Wolfe
1981,Best Novel,Nominee,Ariosto,Chelsea Quinn Yarbro
1981,Best Novel,Nominee,Firelord,Parke Godwin
1981,Best Novel,Nominee,Shadowland,Peter Straub
1981,Best Novel,Nominee,The Mist,Stephen King
1981,Best Short Fiction,Winner,The Ugly Chickens,Howard Waldrop
1981,Best Short Fiction,Nominee,Cabin 33,Chelsea Quinn Yarbro
1981,Best Short Fiction,Nominee,Children of the Kingdom,T. E. D. Klein
1981,Best Short Fiction,Nominee,Unicorn Tapestry,Suzy Mckee Charnas
1982,Best Novel,Winner,"Little, Big",John Crowley
1982,Best Novel,Nominee,The Claw of the Conciliator,Gene Wolfe
1982,Best Novel,Nominee,The Nameless,Ramsey Campbell
1982,Best Novel,Nominee,The War Hound and the World's Pain,Michael Moorcock
1982,Best Novel,Nominee,The White Hotel,D. M. Thomas
1982,Best Short Fiction,Winner,The Dark Country,Dennis Etchison
1982,Best Short Fiction,Nominee,Coin of the Realm,Charles L. Grant
1982,Best Short Fiction,Nominee,Do the Dead Sing?,Stephen King
1982,Best Short Fiction,Nominee,Fairy Tale,Jack Dann
1983,Best Novel,Winner,Nifft the Lean,Michael Shea
1983,Best Novel,Nominee,Fevre Dream,George R. R. Martin
1983,Best Novel,Nominee,Phantom,Thomas Tessier
1983,Best Novel,Nominee,The Nestling,Charles L. Grant
1983,Best Novel,Nominee,The Sword of the Lictor,Gene Wolfe
1983,Best Short Fiction,Winner,The Gorgon,Tanith Lee
